Date,Depth_to_Groundwater,Depth_to_Groundwater_log,Depth_to_Groundwater_diff_1,Depth_to_Groundwater_diff_2,Depth_to_Groundwater_trend,Depth_to_Groundwater_seasonal,Depth_to_Groundwater_seasonal_shift_r_2M,Depth_to_Groundwater_seasonal_shift_r_1M,Depth_to_Groundwater_seasonal_shift_1M,Depth_to_Groundwater_seasonal_shift_2M,Depth_to_Groundwater_seasonal_shift_3M
2009-01-01,-31.14,3.4384931664058525,0.0,0.0,-30.8037280692393,0.013020662194596926,0.014089442031839568,0.0017661157409486592,,,
2009-01-02,-31.11,3.4375293109095457,0.030000000000001137,0.030000000000001137,-30.772337926629838,0.015835883605876195,0.01780209934055429,0.011562581216805038,,,
2009-01-03,-31.07,3.436242723404956,0.03999999999999915,0.00999999999999801,-30.740947784020378,0.008911076527127087,0.015369220087065774,0.01262804004498831,,,
2009-01-04,-31.05,3.435598808379488,0.019999999999999574,-0.019999999999999574,-30.709557641410917,0.00669068540279345,0.007656188886759171,0.018657886337559097,,,
2009-01-05,-31.01,3.4343097331123578,0.03999999999999915,0.019999999999999574,-30.678167498801454,0.0017661157409486592,0.009587032330327159,0.014089442031839568,0.013020662194596926,,
2009-01-06,-31.0,3.4339872044851463,0.010000000000001563,-0.029999999999997584,-30.646777356191993,0.011562581216805038,0.011379911327203184,0.01780209934055429,0.015835883605876195,,
2009-01-07,-30.96,3.4326960487215263,0.03999999999999915,0.029999999999997584,-30.615387213582533,0.01262804004498831,0.006253478768643947,0.015369220087065774,0.008911076527127087,,
2009-01-08,-30.94,3.43204984514492,0.019999999999999574,-0.019999999999999574,-30.583997070973073,0.018657886337559097,0.01323055998026554,0.007656188886759171,0.00669068540279345,,
2009-01-09,-30.93,3.4317265866969784,0.010000000000001563,-0.00999999999999801,-30.552606928363613,0.014089442031839568,0.010578011562256524,0.009587032330327159,0.0017661157409486592,0.013020662194596926,
2009-01-10,-30.87,3.429784838514068,0.05999999999999872,0.04999999999999716,-30.521216785754152,0.01780209934055429,0.00743401015279529,0.011379911327203184,0.011562581216805038,0.015835883605876195,
2009-01-11,-30.83,3.428488241898059,0.0400000000000027,-0.01999999999999602,-30.48982664314469,0.015369220087065774,0.013806865343523978,0.006253478768643947,0.01262804004498831,0.008911076527127087,
2009-01-12,-30.74,3.4255647381104497,0.08999999999999986,0.04999999999999716,-30.458436500535228,0.007656188886759171,0.01759306336426189,0.01323055998026554,0.018657886337559097,0.00669068540279345,
2009-01-13,-30.63,3.421979920844684,0.10999999999999943,0.019999999999999574,-30.427046357925768,0.009587032330327159,0.011127599466671467,0.010578011562256524,0.014089442031839568,0.0017661157409486592,0.013020662194596926
2009-01-14,-30.55,3.4193646856176043,0.0799999999999983,-0.030000000000001137,-30.395656215316308,0.011379911327203184,0.005298412872024639,0.00743401015279529,0.01780209934055429,0.011562581216805038,0.015835883605876195
2009-01-15,-30.57,3.420019135902743,-0.019999999999999574,-0.09999999999999787,-30.364266072706847,0.006253478768643947,0.010847431405583334,0.013806865343523978,0.015369220087065774,0.01262804004498831,0.008911076527127087
2009-01-16,-30.61,3.421326752957321,-0.03999999999999915,-0.019999999999999574,-30.332875930097387,0.01323055998026554,0.014288187830879782,0.01759306336426189,0.007656188886759171,0.018657886337559097,0.00669068540279345
2009-01-17,-30.68,3.4236109764990554,-0.07000000000000028,-0.030000000000001137,-30.301485787487923,0.010578011562256524,0.006550169327400936,0.011127599466671467,0.009587032330327159,0.014089442031839568,0.0017661157409486592
2009-01-18,-30.41,3.4147715016892732,0.2699999999999996,0.33999999999999986,-30.270095644878463,0.00743401015279529,0.006236177414615844,0.005298412872024639,0.011379911327203184,0.01780209934055429,0.011562581216805038
2009-01-19,-30.28,3.410487428569248,0.129999999999999,-0.14000000000000057,-30.238705502269003,0.013806865343523978,0.010090184838854852,0.010847431405583334,0.006253478768643947,0.015369220087065774,0.01262804004498831
2009-01-20,-30.21,3.4081729953985804,0.07000000000000028,-0.05999999999999872,-30.207315359659543,0.01759306336426189,0.010587514724666803,0.014288187830879782,0.01323055998026554,0.007656188886759171,0.018657886337559097
2009-01-21,-30.18,3.407179453339703,0.030000000000001137,-0.03999999999999915,-30.175925217050082,0.011127599466671467,0.014800419159386955,0.006550169327400936,0.010578011562256524,0.009587032330327159,0.014089442031839568
2009-01-22,-30.15,3.4061849231731944,0.030000000000001137,0.0,-30.144535074440622,0.005298412872024639,0.018783029197145782,0.006236177414615844,0.00743401015279529,0.011379911327203184,0.01780209934055429
2009-01-23,-30.08,3.403860499081639,0.07000000000000028,0.03999999999999915,-30.11314493183116,0.010847431405583334,0.00364764303357568,0.010090184838854852,0.013806865343523978,0.006253478768643947,0.015369220087065774
2009-01-24,-29.97,3.4001968813285717,0.10999999999999943,0.03999999999999915,-30.081754789221698,0.014288187830879782,0.0003700441444588748,0.010587514724666803,0.01759306336426189,0.01323055998026554,0.007656188886759171
2009-01-25,-30.04,3.402529826895934,-0.07000000000000028,-0.17999999999999972,-30.050364646612238,0.006550169327400936,-0.007419663006766436,0.014800419159386955,0.011127599466671467,0.010578011562256524,0.009587032330327159
2009-01-26,-29.97,3.4001968813285717,0.07000000000000028,0.14000000000000057,-30.018974504002777,0.006236177414615844,-0.0001713834533379156,0.018783029197145782,0.005298412872024639,0.00743401015279529,0.011379911327203184
2009-01-27,-29.96,3.3998631586490187,0.00999999999999801,-0.060000000000002274,-30.06375,0.010090184838854852,-0.005388678448817751,0.00364764303357568,0.010847431405583334,0.013806865343523978,0.006253478768643947
2009-01-28,-29.96,3.3998631586490187,0.0,-0.00999999999999801,-30.024134615384618,0.010587514724666803,-0.00552406461238816,0.0003700441444588748,0.014288187830879782,0.01759306336426189,0.01323055998026554
2009-01-29,-29.93,3.3988613218646075,0.030000000000001137,0.030000000000001137,-29.98423076923077,0.014800419159386955,-0.020042166825341316,-0.007419663006766436,0.006550169327400936,0.011127599466671467,0.010578011562256524
2009-01-30,-29.93,3.3988613218646075,0.0,-0.030000000000001137,-29.945,0.018783029197145782,-0.0271362424476016,-0.0001713834533379156,0.006236177414615844,0.005298412872024639,0.00743401015279529
2009-01-31,-29.86,3.3965197921110444,0.07000000000000028,0.07000000000000028,-29.906057692307694,0.00364764303357568,-0.03730249280870314,-0.005388678448817751,0.010090184838854852,0.010847431405583334,0.013806865343523978
2009-02-01,-29.74,3.392492941032009,0.120000000000001,0.05000000000000071,-29.866826923076925,0.0003700441444588748,-0.03270495440094956,-0.00552406461238816,0.010587514724666803,0.014288187830879782,0.01759306336426189
2009-02-02,-29.71,3.391483689474516,0.029999999999997584,-0.09000000000000341,-29.82817307692308,-0.007419663006766436,-0.028834762093257617,-0.020042166825341316,0.014800419159386955,0.006550169327400936,0.011127599466671467
2009-02-03,-29.71,3.391483689474516,0.0,-0.029999999999997584,-29.789711538461543,-0.0001713834533379156,-0.02609317555479598,-0.0271362424476016,0.018783029197145782,0.006236177414615844,0.005298412872024639
2009-02-04,-29.65,3.3894621254437345,0.060000000000002274,0.060000000000002274,-29.75019230769231,-0.005388678448817751,-0.036120819785564764,-0.03730249280870314,0.00364764303357568,0.010090184838854852,0.010847431405583334
2009-02-05,-29.67,3.3901364343027307,-0.020000000000003126,-0.0800000000000054,-29.71076923076923,-0.00552406461238816,-0.029112406324026608,-0.03270495440094956,0.0003700441444588748,0.010587514724666803,0.014288187830879782
2009-02-06,-29.54,3.3857452771032337,0.13000000000000256,0.15000000000000568,-29.67096153846154,-0.020042166825341316,-0.022896781324026685,-0.028834762093257617,-0.007419663006766436,0.014800419159386955,0.006550169327400936
2009-02-07,-29.5,3.3843902633457743,0.03999999999999915,-0.09000000000000341,-29.629807692307693,-0.0271362424476016,-0.018026108247103535,-0.02609317555479598,-0.0001713834533379156,0.018783029197145782,0.006236177414615844
2009-02-08,-29.48,3.383712067321136,0.019999999999999574,-0.019999999999999574,-29.59,-0.03730249280870314,-0.013501589016334116,-0.036120819785564764,-0.005388678448817751,0.00364764303357568,0.010090184838854852
2009-02-09,-29.55,3.386083743852107,-0.07000000000000028,-0.08999999999999986,-29.55375,-0.03270495440094956,-0.0118412524778732,-0.029112406324026608,-0.00552406461238816,0.0003700441444588748,0.010587514724666803
2009-02-10,-29.46,3.3830334110344844,0.08999999999999986,0.16000000000000014,-29.51923076923077,-0.028834762093257617,-0.021930915939410968,-0.022896781324026685,-0.020042166825341316,-0.007419663006766436,0.014800419159386955
2009-02-11,-29.46,3.3830334110344844,0.0,-0.08999999999999986,-29.48365384615385,-0.02609317555479598,-0.01521096401633433,-0.018026108247103535,-0.0271362424476016,-0.0001713834533379156,0.018783029197145782
2009-02-12,-29.45,3.3826939100975957,0.010000000000001563,0.010000000000001563,-29.44644230769231,-0.036120819785564764,-0.001353992862488098,-0.013501589016334116,-0.03730249280870314,-0.005388678448817751,0.00364764303357568
2009-02-13,-29.45,3.3826939100975957,0.0,-0.010000000000001563,-29.410865384615384,-0.029112406324026608,0.014132785983665762,-0.0118412524778732,-0.03270495440094956,-0.00552406461238816,0.0003700441444588748
2009-02-14,-29.43,3.382014562245381,0.019999999999999574,0.019999999999999574,-29.379230769230773,-0.022896781324026685,0.013020662194596926,-0.021930915939410968,-0.028834762093257617,-0.020042166825341316,-0.007419663006766436
